pid,date,like_rate,mark_rate,is_comic,is_ai,is_Genshin,is_Honkai,comments,views,rank,top_cnt,date_diff_day
103101956,20221127,0.08953140578265205,0.1168494516450648,1,0,0,0,4,60180,8,2,2
103079517,20221126,0.14193418130426005,0.3002220876236624,0,1,0,0,2,4953,33,0,1
103103984,20221126,0.14474959612277868,0.20646203554119547,0,1,0,0,0,6190,39,0,0
103103278,20221126,0.20160131389858346,0.31574625333607065,0,1,0,0,5,4871,38,0,0
103078824,20221126,0.09918284728990179,0.21632056376040182,0,1,0,0,1,26678,37,0,1
103087296,20221126,0.0927734375,0.1533203125,0,1,0,0,3,5120,35,0,1
103071024,20221126,0.1790183183823409,0.2963904422979156,0,1,1,0,17,60977,4,2,2
103098692,20221126,0.1482786801511901,0.23046276432730617,0,1,1,0,6,19578,32,0,1
103087526,20221126,0.1345444223673006,0.22338915696849276,0,1,0,0,0,3523,29,0,1
103078213,20221126,0.15567715458276335,0.2974920200638395,0,1,0,0,0,10965,41,0,1
103100025,20221126,0.06569973236639903,0.10498143831477165,0,1,0,0,3,11583,42,0,1
103081959,20221126,0.1713270789689407,0.24228071773385554,0,1,1,0,2,10979,44,0,1
103070282,20221126,0.10827869654565025,0.18713507518674366,0,1,0,0,18,61314,45,0,2
103096737,20221126,0.15788822947576656,0.24196340257171117,0,1,1,0,8,8088,46,0,1
103097149,20221126,0.059771606540358166,0.10783804827407215,0,1,0,0,41,38530,47,0,1
103084839,20221126,0.09984128410145839,0.16039289671488036,0,1,1,0,23,33393,26,2,1
103095599,20221126,0.10680570801317234,0.16355653128430298,0,1,1,0,7,9110,50,0,1
103109488,20221126,0.02830434209072078,0.030967567124323053,0,0,0,0,78,280487,50,0,0
103076072,20221126,0.052402323125659976,0.05724216825061598,0,0,0,0,48,22728,49,0,2
103088544,20221126,0.21471978392977717,0.36191762322754895,0,1,1,0,13,11848,27,0,1
103097535,20221126,0.18501974493429144,0.2836796789020522,0,1,1,0,3,15447,20,0,1
103073079,20221126,0.16517216642754662,0.2570540411286466,0,1,0,1,6,16728,25,2,2
103102252,20221126,0.1617826046250351,0.28307274599756577,0,1,1,0,0,21362,24,0,1
103074053,20221126,0.18975406615856055,0.275320185432545,0,1,1,0,6,12727,2,2,2
103074258,20221126,0.15274992533174042,0.2434185262618936,0,1,1,0,10,46874,3,2,2
103084075,20221126,0.15267531257280423,0.22233439465714064,0,1,1,0,3,12877,5,2,1
103072245,20221126,0.20186052563101745,0.30789747593026284,0,1,1,0,5,15372,7,2,2
103094639,20221126,0.2012951969778737,0.3229897463572585,0,1,0,0,8,7412,8,0,1
103092327,20221126,0.18564897634665076,0.31345656927052273,0,1,0,0,7,5031,10,0,1
103116409,20221126,0.17981572744803942,0.3191343475466038,0,1,1,0,3,23335,11,0,0
103071304,20221126,0.21366885050625373,0.3073257891602144,0,1,1,0,9,13432,12,2,2
103075290,20221126,0.10868533459895587,0.173766018035121,0,1,0,1,6,16856,13,2,2
103072481,20221126,0.13677873232767368,0.25360211053236825,0,1,1,0,3,14783,14,0,2
103082037,20221126,0.12091433454390088,0.18767357402264473,0,1,1,0,1,9362,15,0,1
103072591,20221126,0.20702588967157626,0.3033574238404538,0,1,1,0,5,10931,16,0,2
103080170,20221126,0.12396446751172771,0.23694979538876135,0,1,1,0,1,10019,17,0,1
103074967,20221126,0.17863247863247864,0.2872405372405372,0,1,1,0,2,16380,18,0,2
103086102,20221126,0.16220717219940048,0.25141556567114465,0,1,1,0,3,18014,19,2,1
103086448,20221126,0.04718879242892805,0.06228808822981482,1,0,0,0,61,107356,47,0,1
103074586,20221126,0.15194058457115478,0.2517010062290369,0,1,0,0,2,20870,21,0,2
103079367,20221126,0.1651893634165995,0.2504700510341123,0,1,1,0,0,7446,23,0,1
103081686,20221126,0.17763431556879253,0.28375567794213075,0,1,1,0,47,60101,1,2,1
103078161,20221126,0.036906328796578874,0.04650052792201218,0,0,0,0,6,207417,46,0,1
103079552,20221126,0.0376821833095545,0.04528835081956684,0,0,0,0,0,217981,21,2,1
103078917,20221126,0.10203611723298575,0.13144304463668957,0,0,0,0,14,30401,24,2,1
103070248,20221126,0.16156462585034015,0.22649621646411375,0,0,0,0,25,52332,25,2,2
103075274,20221126,0.08523628290516969,0.12386021249603552,0,0,0,0,26,100896,26,2,2
103070114,20221126,0.13809038179616293,0.19516858945758175,0,0,0,0,28,31378,27,0,2
103074166,20221126,0.09695290858725762,0.12435264362278695,0,0,0,0,9,16606,29,2,2
103090440,20221126,0.025089471181520134,0.02259929424130941,0,0,0,0,148,79914,32,0,1
103093641,20221126,0.07911260733063509,0.10612021031130613,0,0,0,0,10,52874,33,0,1
103085051,20221126,0.042932267054404456,0.05132194353568399,0,0,0,0,15,206325,36,0,1
103089841,20221126,0.07234788149092068,0.09942656897100988,0,0,0,0,18,31390,38,0,1
103083950,20221126,0.03113890660074943,0.03334002987238726,1,0,0,0,46,114487,40,0,1
103107464,20221126,0.04159597190878592,0.04771827521263336,0,0,0,0,165,364242,42,0,0
103070220,20221126,0.10715168289428162,0.1415015074383433,0,0,0,0,6,20233,22,2,2
103070151,20221126,0.1213748013076208,0.15895390336802329,0,0,0,0,38,33343,20,0,2
103081948,20221126,0.044316073006949654,0.05665704579062237,0,0,0,0,68,238717,44,0,1
103070204,20221126,0.022726230510547233,0.028072454906756344,1,0,0,0,26,261680,43,0,2
103070297,20221126,0.13589460106873041,0.17195767195767195,0,0,0,0,84,227934,1,2,2
103070124,20221126,0.12290028591851322,0.15726411722659042,0,0,1,0,23,111920,2,2,2
103086381,20221126,0.0386508783221798,0.03614978354214977,1,0,0,0,367,340251,3,2,1
103070193,20221126,0.021944483107309294,0.02390650704400132,1,0,0,0,320,596323,4,2,2
103070122,20221126,0.14775225129405092,0.1891087002765369,0,0,0,0,19,56412,6,2,2
103082854,20221126,0.10983197875919658,0.13194430369484586,0,0,0,0,20,49339,7,2,1
103070178,20221126,0.11971098331980473,0.17405023494037888,0,0,1,0,40,87469,9,2,2
103076312,20221126,0.10166560238399319,0.12497339293316305,0,0,0,0,11,37584,10,2,2
103070226,20221126,0.06524959171530213,0.08287229867449898,0,0,0,0,41,78989,11,2,2
103070155,20221126,0.034602355218583646,0.03831263106952734,0,0,0,0,88,111582,12,0,2
103070131,20221126,0.1460665341562925,0.19361334867663982,0,0,0,0,15,38236,13,2,2
103083622,20221126,0.08794976500500809,0.11873025656830265,0,0,0,0,30,77874,14,2,1
103070111,20221126,0.14666514128818214,0.1876215535979865,0,0,0,0,11,26223,15,2,2
103091544,20221126,0.10436816235928334,0.1281908990011099,0,0,0,0,13,25228,17,2,1
103045265,20221125,0.12733212341197822,0.20022686025408348,0,1,1,0,15,110200,1,2,2
103062471,20221125,0.15493729334194203,0.23329615933947684,0,1,1,0,11,51111,2,2,1
103047690,20221125,0.14671250537172326,0.21375161151697464,0,1,1,0,5,11635,4,2,2
103056665,20221125,0.14440562572785093,0.24751410911045418,0,1,1,0,2,11163,3,2,1
103062390,20221125,0.14773238661933097,0.23991199559978,0,1,1,0,5,39998,5,2,1
103077622,20221125,0.14985682468978684,0.21794463888005092,0,1,0,0,0,6286,28,0,0
103061246,20221125,0.15111848298740305,0.26292195275025776,0,1,1,0,4,22307,30,0,1
103054563,20221125,0.19362618432385875,0.33901808785529713,0,1,0,0,3,5805,50,0,1
103070309,20221125,0.1379754242246928,0.23604447045055588,0,1,0,0,1,8545,49,0,1
103072774,20221125,0.15344938749194068,0.24532559638942616,0,1,0,0,3,3102,48,0,1
103061504,20221125,0.1653730056058646,0.2708063820612333,0,1,0,0,2,4638,31,0,1
